Sl no,District,Month,No. of Female patient (Indoor admission),No. of Child patient (Indoor admission),No. of BCC,BCC performed by SACMO,"Counseling on IYCF, IFA, Vitamin-A & Hand washing",Received IFA (Pregnant & Child mother),Received MNP Sachet (6-23 months),Breast feeding within 1-hour of birth (0-<6 months child),Exclusive Breast feeding up to 6 months,Complimentary feeding after 6 months,Feeding Tablet Vitamin A (6-59months Child),Received Tablet anti-helminthics (24-59months Child),Feeding Zink pill with ORS suffering form diarrhoea,Identifying Suffering from MAM,Suffering from SAM & Referred,Identifying Child Stunting,Identifying Child Wasting,Identifying Child Under weight
Joipurhat DistrictApril 2017,Joipurhat District,April 2017,135,0,90,48,840,2432,0,572,883,964,0,224,48,27,10,3,0,4
Naogaon DistrictApril 2017,Naogaon District,April 2017,477,479,616,282,1652,3988,185,701,1067,1699,171,612,22,96,282,101,32,30
Nawabganj DistrictApril 2017,Nawabganj District,April 2017,40,0,139,88,911,4168,61,627,867,1929,67,1218,147,140,6,114,59,54
Rajshahi DistrictApril 2017,Rajshahi District,April 2017,60,0,500,109,2234,4393,96,332,358,448,47,829,345,65,48,263,188,112
Natore DistrictApril 2017,Natore District,April 2017,64,0,244,116,1998,4401,117,675,1111,1952,22,326,69,73,26,17,15,29
Pabna DistrictApril 2017,Pabna District,April 2017,134,0,204,132,2643,5355,37,1103,1853,3146,37,1152,40,105,11,68,75,141
Serajganj DistrictApril 2017,Serajganj District,April 2017,1025,86,190,131,1562,8301,175,567,790,1473,142,1166,136,67,23,160,167,131
Rajshahi DivisionApril 2017,Rajshahi Division,April 2017,2056,565,3489,1270,14950,42322,1000,6019,10198,15815,620,6266,1125,637,413,753,565,529
Bogra DistrictMay 2017,Bogra District,May 2017,31,0,1509,311,4323,8175,252,1682,3030,4190,80,732,262,43,5,33,32,45
Joipurhat DistrictMay 2017,Joipurhat District,May 2017,150,0,84,45,995,2452,0,652,937,1131,0,230,35,8,5,7,22,20
Naogaon DistrictMay 2017,Naogaon District,May 2017,26,34,182,79,1858,3798,82,824,1454,2211,21,639,31,28,0,18,28,18
Nawabganj DistrictMay 2017,Nawabganj District,May 2017,54,0,122,78,1594,4437,100,645,812,1871,0,1339,137,42,12,131,66,64
Rajshahi DistrictMay 2017,Rajshahi District,May 2017,113,76,707,214,2393,4577,187,330,424,694,57,603,315,27,39,249,178,102
Natore DistrictMay 2017,Natore District,May 2017,55,0,199,116,2109,4459,0,699,997,1706,4,314,25,39,36,17,13,21
Pabna DistrictMay 2017,Pabna District,May 2017,137,0,210,106,2659,4719,0,1009,1721,3240,63,979,29,134,24,83,87,106
Serajganj DistrictMay 2017,Serajganj District,May 2017,204,0,199,113,1592,7302,286,635,781,1446,163,1137,287,77,25,188,297,145
Rajshahi DivisionMay 2017,Rajshahi Division,May 2017,770,110,3212,1062,17523,39919,907,6476,10156,16489,388,5973,1121,398,146,726,723,521
Bogra DistrictJune 2017,Bogra District,June 2017,100,0,1450,105,3241,8568,214,1374,3241,4474,54,727,261,48,12,48,47,45
Joipurhat DistrictJune 2017,Joipurhat District,June 2017,176,0,87,3,801,2303,0,626,869,1007,0,237,12,10,17,5,14,0
Naogaon DistrictJune 2017,Naogaon District,June 2017,385,470,577,213,1755,3546,128,780,1415,2163,227,505,0,55,256,108,45,58
Nawabganj DistrictJune 2017,Nawabganj District,June 2017,64,0,124,50,1467,4635,88,576,805,1935,8,1025,83,46,18,89,50,59
Rajshahi DistrictJune 2017,Rajshahi District,June 2017,114,0,485,48,2191,4011,173,295,370,679,52,771,313,23,39,255,194,88
Natore DistrictJune 2017,Natore District,June 2017,57,0,177,16,1874,4343,67,589,985,1598,85,266,101,65,5,20,25,20
Pabna DistrictJune 2017,Pabna District,June 2017,0,0,253,71,3057,3880,20,1033,1641,3139,88,789,17,114,9,61,76,95
Serajganj DistrictJune 2017,Serajganj District,June 2017,127,0,205,54,1484,4278,244,445,649,1179,52,1127,54,65,9,148,146,132
Rajshahi DivisionJune 2017,Rajshahi Division,June 2017,1023,470,3358,560,15870,35564,934,5718,9975,16174,566,5447,841,426,365,734,597,497
Bogra DistrictJuly 2017,Bogra District,July 2017,116,0,1522,290,3731,8144,137,1525,3544,4141,313,575,259,59,23,35,39,41
Joipurhat DistrictJuly 2017,Joipurhat District,July 2017,168,0,86,44,862,2830,3,627,901,1117,10,217,38,2,0,1,12,32
Naogaon DistrictJuly 2017,Naogaon District,July 2017,369,395,608,61,1582,4116,193,874,1683,2531,90,636,47,73,388,112,43,36
Nawabganj DistrictJuly 2017,Nawabganj District,July 2017,34,12,140,69,1638,5129,76,478,838,1761,0,1271,92,63,4,103,46,54
Rajshahi DistrictJuly 2017,Rajshahi District,July 2017,83,1,518,109,2666,5081,92,150,229,533,40,1182,77,73,34,272,201,142
Natore DistrictJuly 2017,Natore District,July 2017,70,0,241,76,2291,5094,45,573,937,1671,94,261,58,53,31,21,18,14
Pabna DistrictJuly 2017,Pabna District,July 2017,118,7,266,100,3532,5153,32,1120,1761,3349,17,1248,23,101,14,73,94,126
Serajganj DistrictJuly 2017,Serajganj District,July 2017,106,0,231,245,2064,4768,260,484,798,1310,127,1333,136,104,16,185,154,146
Rajshahi DivisionJuly 2017,Rajshahi Division,July 2017,1064,415,3612,994,18366,40315,838,5831,10691,16413,691,6723,730,528,510,802,607,591
Bogra DistrictAugust 2017,Bogra District,August 2017,181,8,1538,388,3649,8686,213,1558,3043,3520,346,633,378,53,18,39,35,50
Joipurhat DistrictAugust 2017,Joipurhat District,August 2017,89,0,93,44,836,2973,0,644,926,1182,3,216,18,7,0,14,25,29
Naogaon DistrictAugust 2017,Naogaon District,August 2017,352,459,550,69,2036,3622,17,1009,1444,1996,140,618,70,69,366,99,41,40
Nawabganj DistrictAugust 2017,Nawabganj District,August 2017,69,0,162,88,1843,5353,99,535,808,1700,0,1153,129,67,20,96,37,34
Rajshahi DistrictAugust 2017,Rajshahi District,August 2017,116,26,858,131,3636,5903,153,112,348,390,327,1475,75,78,43,290,213,124
Natore DistrictAugust 2017,Natore District,August 2017,93,0,248,81,2544,5450,46,595,912,1789,205,362,50,62,8,19,18,18
Pabna DistrictAugust 2017,Pabna District,August 2017,161,0,203,101,3090,5499,14,1011,1711,3383,13,1288,24,108,31,94,94,139
Serajganj DistrictAugust 2017,Serajganj District,August 2017,245,195,262,142,1914,6988,204,487,704,1156,30,1235,186,122,30,151,107,134
Rajshahi DivisionAugust 2017,Rajshahi Division,August 2017,1306,688,3914,1044,19548,44474,746,5951,9896,15116,1064,6980,930,566,516,802,570,568
Bogra DistrictSeptember 2017,Bogra District,September 2017,167,0,1485,258,3658,8459,108,1899,3849,6018,182,611,247,74,20,35,35,45
Joipurhat DistrictSeptember 2017,Joipurhat District,September 2017,182,0,94,62,819,3003,0,621,972,1140,0,183,9,0,9,15,20,10
Naogaon DistrictSeptember 2017,Naogaon District,September 2017,444,529,445,57,1979,4491,95,961,1614,2578,146,699,30,111,381,108,62,45
Nawabganj DistrictSeptember 2017,Nawabganj District,September 2017,68,0,164,74,875,3576,176,671,806,1747,101,906,122,79,21,86,37,22
Rajshahi DistrictSeptember 2017,Rajshahi District,September 2017,141,105,627,122,3204,5271,237,272,333,607,49,1038,52,73,27,306,238,87
Natore DistrictSeptember 2017,Natore District,September 2017,98,0,244,104,2416,4965,172,742,1002,1603,76,341,60,37,6,18,28,21
