Sl no,District,Month,No. of Female patient (Indoor admission),No. of Child patient (Indoor admission),No. of BCC,BCC performed by SACMO,"Counseling on IYCF, IFA, Vitamin-A & Hand washing",Received IFA (Pregnant & Child mother),Received MNP Sachet (6-23 months),Breast feeding within 1-hour of birth (0-<6 months child),Exclusive Breast feeding up to 6 months,Complimentary feeding after 6 months,Feeding Tablet Vitamin A (6-59months Child),Received Tablet anti-helminthics (24-59months Child),Feeding Zink pill with ORS suffering form diarrhoea,Identifying Suffering from MAM,Suffering from SAM & Referred,Identifying Child Stunting,Identifying Child Wasting,Identifying Child Under weight
Mymensingh DivisionNovember 2017,Mymensingh Division,November 2017,411,177,793,546,11156,20508,886,6197,6722,13718,18,2326,147,529,370,424,489,475
Jamalpur DistrictDecember 2017,Jamalpur District,December 2017,171,127,314,176,3170,5182,658,2499,3109,8073,431,506,258,106,254,98,55,58
Sherpur DistrictDecember 2017,Sherpur District,December 2017,14,0,94,44,768,3970,5,591,1028,1961,2787,218,9,81,6,106,103,141
Mymensingh DistrictDecember 2017,Mymensingh District,December 2017,82,0,295,154,3900,5423,404,841,952,2148,491,1187,183,69,19,126,157,131
Netrokona DistrictDecember 2017,Netrokona District,December 2017,64,0,126,37,1922,4550,7,1373,1923,2940,820,782,16,126,34,111,97,111
Mymensingh DivisionDecember 2017,Mymensingh Division,December 2017,331,127,829,411,9760,19125,1074,5304,7012,15122,4529,2693,466,382,313,441,412,441
Dinajpur DistrictJanuary 2017,Dinajpur District,January 2017,87,0,177,115,4930,5680,32,1130,1506,1967,15,1031,124,36,4,17,28,37
Thakurgaon DistrictJanuary 2017,Thakurgaon District,January 2017,0,0,96,47,745,1147,17,86,136,293,32,352,23,2,0,5,4,8
Panchgarh DistrictJanuary 2017,Panchgarh District,January 2017,32,1,65,7,466,2323,4,509,750,787,0,425,27,33,24,2,0,20
Nilphamari DistrictJanuary 2017,Nilphamari District,January 2017,229,34,115,37,1565,5124,53,551,563,667,111,244,35,98,35,41,36,48
Rangpur DistrictJanuary 2017,Rangpur District,January 2017,241,132,202,64,1429,8614,784,1461,1749,3423,23,729,61,31,0,18,19,6
Kurigram DistrictJanuary 2017,Kurigram District,January 2017,0,0,426,60,2159,5137,71,299,967,1936,20,459,238,39,6,17,14,21
Gaibandha DistrictJanuary 2017,Gaibandha District,January 2017,439,146,212,70,2016,47556,578,71,131,205,39,911,404,123,8,31,25,46
Lalmonirhat DistrictJanuary 2017,Lalmonirhat District,January 2017,0,0,31,23,741,2965,38,311,568,768,4,236,9,39,3,21,14,19
Rangpur DivisionJanuary 2017,Rangpur Division,January 2017,1028,313,1324,423,14051,78546,1577,4418,6370,10046,244,4387,921,401,80,152,140,205
Dinajpur DistrictFebruary 2017,Dinajpur District,February 2017,149,157,163,88,4973,6040,219,992,1361,2021,18,1014,23,35,3,19,36,52
Thakurgaon DistrictFebruary 2017,Thakurgaon District,February 2017,0,0,79,52,578,1253,0,126,157,241,10,494,7,10,3,5,4,8
Panchgarh DistrictFebruary 2017,Panchgarh District,February 2017,53,3,44,17,493,2601,86,410,572,767,0,494,52,2,2,2,3,2
Nilphamari DistrictFebruary 2017,Nilphamari District,February 2017,1060,1043,279,29,1645,4118,227,583,1111,2077,742,230,143,75,22,29,22,34
Rangpur DistrictFebruary 2017,Rangpur District,February 2017,220,112,113,67,1960,7519,692,1670,2057,3850,20,673,143,20,0,22,14,10
Kurigram DistrictFebruary 2017,Kurigram District,February 2017,0,0,475,89,1841,4719,3,313,908,1703,10,627,150,59,8,23,6,10
Gaibandha DistrictFebruary 2017,Gaibandha District,February 2017,93,48,299,74,1760,145784,459,74,131,232,532,848,330,40,14,27,24,82
Lalmonirhat DistrictFebruary 2017,Lalmonirhat District,February 2017,0,0,30,19,347,2672,4,302,412,349,68,186,3,32,4,11,9,14
Rangpur DivisionFebruary 2017,Rangpur Division,February 2017,1575,1363,1482,435,13597,174706,1690,4470,6709,11240,1400,4566,851,273,56,138,118,212
Dinajpur DistrictMarch 2017,Dinajpur District,March 2017,510,50,227,140,5530,7013,329,820,1356,1946,17,974,35,35,2,32,22,49
Thakurgaon DistrictMarch 2017,Thakurgaon District,March 2017,0,0,57,56,977,1136,0,142,153,266,7,443,5,0,0,0,0,0
Panchgarh DistrictMarch 2017,Panchgarh District,March 2017,49,3,68,4,595,2526,6,453,708,999,0,386,63,40,12,2,3,6
Nilphamari DistrictMarch 2017,Nilphamari District,March 2017,253,77,124,36,1396,4331,58,460,600,887,34,400,102,80,21,36,35,44
Rangpur DistrictMarch 2017,Rangpur District,March 2017,225,122,102,57,2812,9641,598,1555,1823,3845,4,560,138,56,0,13,14,7
Kurigram DistrictMarch 2017,Kurigram District,March 2017,0,0,483,61,1890,4261,149,417,1062,1383,4,559,133,84,36,28,43,44
Gaibandha DistrictMarch 2017,Gaibandha District,March 2017,366,52,337,136,1958,66087,516,104,182,293,8,976,418,47,18,34,41,50
Lalmonirhat DistrictMarch 2017,Lalmonirhat District,March 2017,42,0,91,22,834,3606,30,445,661,908,53,362,80,45,5,15,24,29
Rangpur DivisionMarch 2017,Rangpur Division,March 2017,1445,304,1489,512,15992,98601,1686,4396,6545,10527,127,4660,974,387,94,160,182,229
Dinajpur DistrictApril 2017,Dinajpur District,April 2017,151,1,248,131,7133,5852,70,884,1356,1982,361,1024,73,42,2,29,22,39
Thakurgaon DistrictApril 2017,Thakurgaon District,April 2017,0,0,67,40,706,1521,0,156,186,243,3,487,24,0,0,0,0,0
Panchgarh DistrictApril 2017,Panchgarh District,April 2017,57,2,46,10,411,2308,33,484,622,831,0,406,56,37,10,14,5,4
Nilphamari DistrictApril 2017,Nilphamari District,April 2017,229,25,140,41,1735,6840,287,442,3310,684,8,551,111,162,42,40,29,174
Rangpur DistrictApril 2017,Rangpur District,April 2017,289,125,190,50,2738,8259,677,1686,2202,3839,75,432,128,20,1,10,0,13
Kurigram DistrictApril 2017,Kurigram District,April 2017,0,0,481,60,1989,4240,102,498,1023,1824,0,756,187,50,15,24,26,13
Gaibandha DistrictApril 2017,Gaibandha District,April 2017,678,49,300,110,1883,104555,204,100,143,163,0,608,170,19,9,33,40,34
Lalmonirhat DistrictApril 2017,Lalmonirhat District,April 2017,15,0,19,39,1204,4247,17,356,529,760,35,541,137,61,8,26,39,35
Rangpur DivisionApril 2017,Rangpur Division,April 2017,1419,202,1491,481,17799,137822,1390,4606,9371,10326,482,4805,886,391,87,176,161,312
Dinajpur DistrictMay 2017,Dinajpur District,May 2017,110,0,207,118,4694,6178,65,1276,1670,2324,83,994,42,16,4,34,25,37
Thakurgaon DistrictMay 2017,Thakurgaon District,May 2017,209,0,36,39,414,1115,0,177,172,215,41,254,36,6,0,0,0,0
Panchgarh DistrictMay 2017,Panchgarh District,May 2017,52,0,46,4,367,2456,3,487,569,825,0,528,90,41,3,26,8,11
Nilphamari DistrictMay 2017,Nilphamari District,May 2017,201,111,110,54,1548,4954,151,591,3342,1506,11,400,45,124,64,36,32,141
Rangpur DistrictMay 2017,Rangpur District,May 2017,270,157,192,62,2279,8134,671,1751,2220,3759,111,491,149,9,0,13,6,5
Kurigram DistrictMay 2017,Kurigram District,May 2017,0,0,495,82,2090,2282,90,370,837,1719,22,482,226,61,49,23,30,33
Gaibandha DistrictMay 2017,Gaibandha District,May 2017,463,172,291,112,2381,83765,403,10,16,34,83,697,373,30,16,38,48,43
Lalmonirhat DistrictMay 2017,Lalmonirhat District,May 2017,34,0,55,24,784,4681,57,218,511,806,102,536,90,71,18,45,39,52
Rangpur DivisionMay 2017,Rangpur Division,May 2017,1339,440,1432,495,14557,113565,1440,4880,9337,11188,453,4382,1051,358,154,215,188,322
Dinajpur DistrictJune 2017,Dinajpur District,June 2017,135,1,218,53,5252,5118,67,931,1421,2300,9,1010,37,17,2,36,38,32
Thakurgaon DistrictJune 2017,Thakurgaon District,June 2017,0,0,49,14,289,1256,9,128,143,199,4,379,0,14,0,0,0,0
Panchgarh DistrictJune 2017,Panchgarh District,June 2017,44,2,43,8,353,2320,0,450,688,821,5,276,10,30,3,10,12,13
Nilphamari DistrictJune 2017,Nilphamari District,June 2017,282,167,151,14,1251,4445,352,454,1410,1232,27,447,51,106,20,47,42,50
Rangpur DistrictJune 2017,Rangpur District,June 2017,216,118,202,54,1890,5880,486,1522,2197,4225,110,584,79,68,4,8,0,0
Kurigram DistrictJune 2017,Kurigram District,June 2017,0,0,476,22,1681,3220,136,265,880,1409,0,556,371,44,5,24,39,35
Gaibandha DistrictJune 2017,Gaibandha District,June 2017,523,241,281,61,3009,102615,537,58,126,171,49,823,332,30,12,157,153,159
Lalmonirhat DistrictJune 2017,Lalmonirhat District,June 2017,0,0,77,12,554,3610,8,274,631,859,0,451,134,53,15,44,30,48
Rangpur DivisionJune 2017,Rangpur Division,June 2017,1200,529,1497,238,14279,128464,1595,4082,7496,11216,204,4526,1014,362,61,326,314,337
Dinajpur DistrictJuly 2017,Dinajpur District,July 2017,171,5,247,106,6364,8905,129,983,1534,2485,43,822,42,14,8,14,31,28
Thakurgaon DistrictJuly 2017,Thakurgaon District,July 2017,0,0,65,45,309,1447,0,184,200,233,11,356,4,13,0,4,7,5
Panchgarh DistrictJuly 2017,Panchgarh District,July 2017,47,0,53,6,513,3219,2,551,783,962,14,391,25,75,3,9,11,10
Nilphamari DistrictJuly 2017,Nilphamari District,July 2017,295,55,157,37,1450,6236,159,571,2098,1370,5,541,48,141,14,40,40,63
Rangpur DistrictJuly 2017,Rangpur District,July 2017,270,156,116,66,2628,8253,555,1623,2108,3857,89,525,113,83,13,22,5,12
Kurigram DistrictJuly 2017,Kurigram District,July 2017,0,0,488,73,1870,4055,385,227,977,1992,23,675,423,69,11,27,38,50
Gaibandha DistrictJuly 2017,Gaibandha District,July 2017,438,171,211,76,2695,103104,336,99,140,198,119,777,261,208,11,166,145,168
Lalmonirhat DistrictJuly 2017,Lalmonirhat District,July 2017,0,0,86,38,961,3962,32,286,361,472,535,661,96,111,16,42,33,46
Rangpur DivisionJuly 2017,Rangpur Division,July 2017,1221,387,1423,447,16790,139181,1598,4524,8201,11569,839,4748,1012,714,76,324,310,382
Dinajpur DistrictAugust 2017,Dinajpur District,August 2017,236,3,178,101,5492,6297,55,999,1633,2718,12,812,53,15,2,29,35,47
Thakurgaon DistrictAugust 2017,Thakurgaon District,August 2017,0,0,29,36,298,1443,0,224,170,241,136,402,63,0,0,5,6,5
Panchgarh DistrictAugust 2017,Panchgarh District,August 2017,69,82,50,12,478,2846,19,449,671,893,0,468,13,22,31,5,4,14
Nilphamari DistrictAugust 2017,Nilphamari District,August 2017,289,33,149,32,1598,7354,190,591,1705,1378,10,509,117,89,11,41,46,44
Rangpur DistrictAugust 2017,Rangpur District,August 2017,269,184,201,80,2919,8442,513,1910,2698,2845,1042,1158,101,14,0,15,7,1
Kurigram DistrictAugust 2017,Kurigram District,August 2017,55,50,427,65,1408,4731,114,223,841,1782,1053,615,225,38,11,16,27,22
Gaibandha DistrictAugust 2017,Gaibandha District,August 2017,1047,171,173,50,3106,99996,300,80,150,157,589,880,301,77,19,167,125,174
Lalmonirhat DistrictAugust 2017,Lalmonirhat District,August 2017,0,0,92,30,1219,5108,9,320,642,928,29,572,100,87,8,56,30,44
Rangpur DivisionAugust 2017,Rangpur Division,August 2017,1965,523,1299,406,16518,136217,1200,4796,8510,10942,2871,5416,973,342,82,334,280,351
Dinajpur DistrictSeptember 2017,Dinajpur District,September 2017,175,3,192,134,6401,7235,0,1212,2074,2769,0,908,15,46,5,37,46,43
Thakurgaon DistrictSeptember 2017,Thakurgaon District,September 2017,0,0,40,41,215,1391,0,133,187,267,16,335,16,7,0,3,1,1
Panchgarh DistrictSeptember 2017,Panchgarh District,September 2017,54,0,48,18,634,2365,67,512,690,839,25,410,13,57,14,3,4,15
Nilphamari DistrictSeptember 2017,Nilphamari District,September 2017,268,41,153,43,1457,5751,198,529,1703,1403,8,353,91,200,27,56,65,64
Rangpur DistrictSeptember 2017,Rangpur District,September 2017,274,124,233,93,12545,8257,380,1739,2490,4299,71,514,50,17,3,10,2,4
Kurigram DistrictSeptember 2017,Kurigram District,September 2017,9,9,441,51,3001,4358,42,243,906,1775,83,500,289,70,4,18,26,44
Gaibandha DistrictSeptember 2017,Gaibandha District,September 2017,522,152,278,56,2538,3968,134,85,144,176,0,636,255,86,12,32,41,51
Lalmonirhat DistrictSeptember 2017,Lalmonirhat District,September 2017,0,10,77,22,594,4952,0,269,707,816,28,464,85,74,5,51,22,51
Rangpur DivisionSeptember 2017,Rangpur Division,September 2017,1302,339,1462,458,27385,38277,821,4722,8901,12344,231,4120,814,557,70,210,207,273
Dinajpur DistrictOctober 2017,Dinajpur District,October 2017,170,2,189,146,7104,6173,170,1287,1970,2246,5,944,22,37,14,42,49,60
Thakurgaon DistrictOctober 2017,Thakurgaon District,October 2017,97,0,79,60,1296,2200,0,348,347,373,0,225,9,6,0,2,1,3
Panchgarh DistrictOctober 2017,Panchgarh District,October 2017,57,3,83,12,787,2546,23,599,616,928,2,446,5,50,2,14,22,32
Nilphamari DistrictOctober 2017,Nilphamari District,October 2017,304,121,159,42,2148,6538,202,643,945,1586,117,489,95,188,41,59,66,90
Rangpur DistrictOctober 2017,Rangpur District,October 2017,368,195,270,90,3766,8275,243,1676,2371,4061,261,589,108,70,1,9,2,5
Kurigram DistrictOctober 2017,Kurigram District,October 2017,5,0,459,66,1997,4036,365,277,1063,1749,24,436,315,65,52,25,43,43
Gaibandha DistrictOctober 2017,Gaibandha District,October 2017,467,54,298,92,2701,35949,21,74,122,131,121,636,101,52,6,135,127,145
Lalmonirhat DistrictOctober 2017,Lalmonirhat District,October 2017,0,0,84,37,1910,4484,60,315,726,891,20,480,141,71,14,48,73,53
Rangpur DivisionOctober 2017,Rangpur Division,October 2017,1468,375,1621,545,21709,70201,1084,5219,8160,11965,550,4245,796,539,130,334,383,431
Dinajpur DistrictNovember 2017,Dinajpur District,November 2017,156,1,190,142,7238,4857,156,1392,2070,2250,13,657,33,62,2,66,41,66
Thakurgaon DistrictNovember 2017,Thakurgaon District,November 2017,57,0,84,54,537,1772,22,389,342,327,10,201,34,4,0,2,2,3
Panchgarh DistrictNovember 2017,Panchgarh District,November 2017,59,3,58,11,408,2029,7,568,710,1064,0,415,10,30,2,8,4,16
Nilphamari DistrictNovember 2017,Nilphamari District,November 2017,288,33,116,45,1829,5672,0,729,894,1443,156,390,115,257,39,60,69,89
Rangpur DistrictNovember 2017,Rangpur District,November 2017,271,149,211,83,3779,9191,691,2028,2756,4894,102,230,57,24,15,17,5,4
Kurigram DistrictNovember 2017,Kurigram District,November 2017,0,0,452,67,1848,3973,42,178,690,901,61,362,244,120,42,87,89,86
Gaibandha DistrictNovember 2017,Gaibandha District,November 2017,322,334,257,115,4102,7562,125,148,158,192,15,524,40,57,45,135,117,152
Lalmonirhat DistrictNovember 2017,Lalmonirhat District,November 2017,4,0,61,34,673,6451,14,309,738,1001,4,422,108,79,13,46,81,54
Rangpur DivisionNovember 2017,Rangpur Division,November 2017,1157,520,1429,551,20414,41507,1057,5741,8358,12072,361,3201,641,633,158,421,408,470
Dinajpur DistrictDecember 2017,Dinajpur District,December 2017,160,3,204,135,5432,5437,247,1487,1869,2377,31,567,197,36,3,32,32,29
Thakurgaon DistrictDecember 2017,Thakurgaon District,December 2017,130,0,91,59,635,2840,2,416,457,409,110,232,0,0,0,0,0,0
Panchgarh DistrictDecember 2017,Panchgarh District,December 2017,54,2,67,12,517,2273,0,543,708,916,30,413,3,43,1,2,6,6
Nilphamari DistrictDecember 2017,Nilphamari District,December 2017,262,48,152,60,2029,6277,37,636,1044,1435,188,374,68,191,15,71,77,110
Rangpur DistrictDecember 2017,Rangpur District,December 2017,269,156,267,87,4441,8569,578,2208,3033,4862,658,216,85,35,2,18,9,1
Kurigram DistrictDecember 2017,Kurigram District,December 2017,30,48,448,71,1451,3638,55,312,1154,2106,251,318,234,120,74,71,169,154
Gaibandha DistrictDecember 2017,Gaibandha District,December 2017,241,51,259,82,3550,10217,448,104,145,214,720,653,65,20,45,137,122,146
Lalmonirhat DistrictDecember 2017,Lalmonirhat District,December 2017,34,0,72,43,597,8719,10,413,802,878,24,450,61,62,18,40,41,42
Rangpur DivisionDecember 2017,Rangpur Division,December 2017,1180,308,1560,549,18652,47970,1377,6119,9212,13197,2012,3223,713,507,158,371,456,488
Sylhet DistrictJanuary 2017,Sylhet District,January 2017,83,7,182,70,1302,8414,129,1014,1734,3601,147,1110,133,145,91,41,26,43
Habiganj DistrictJanuary 2017,Habiganj District,January 2017,96,4,62,67,1135,9309,244,2878,4554,6726,6,275,16,173,63,22,29,40
Moulavi Bazar DistrictJanuary 2017,Moulavi Bazar District,January 2017,273,329,141,1851,2760,2568,8,1793,2407,4404,327,481,37,151,42,102,47,252
Sunamganj DistrictJanuary 2017,Sunamganj District,January 2017,62,0,179,8,1914,3437,551,2539,2815,5815,10,962,33,145,38,40,34,51
Sylhet DivisionJanuary 2017,Sylhet Division,January 2017,514,340,564,1996,7111,23728,932,8224,11510,20546,490,2828,219,614,234,205,136,386
Sylhet DistrictFebruary 2017,Sylhet District,February 2017,194,29,2421,60,1129,12522,455,1646,2548,4931,95,964,701,411,94,245,135,173
Habiganj DistrictFebruary 2017,Habiganj District,February 2017,102,0,92,58,1667,6244,211,2707,4351,7030,4,292,39,70,49,35,11,19
Moulavi Bazar DistrictFebruary 2017,Moulavi Bazar District,February 2017,307,367,114,132,2696,2679,21,1663,2311,4137,331,497,48,123,20,101,29,138
Sunamganj DistrictFebruary 2017,Sunamganj District,February 2017,67,0,270,43,1887,4692,312,1841,2213,5316,17,1073,24,397,33,54,93,80
Sylhet DivisionFebruary 2017,Sylhet Division,February 2017,670,396,2897,293,7379,26137,999,7857,11423,21414,447,2826,812,1001,196,435,268,410
Sylhet DistrictMarch 2017,Sylhet District,March 2017,169,24,2426,74,1351,18530,104,1765,2517,4804,180,1175,689,316,75,163,159,145
Habiganj DistrictMarch 2017,Habiganj District,March 2017,96,4,100,60,2017,10045,161,2646,4607,8085,77,507,9,115,29,26,27,44
Moulavi Bazar DistrictMarch 2017,Moulavi Bazar District,March 2017,277,282,154,141,4687,2452,25,1243,2197,4334,252,548,33,128,33,99,37,134
Sunamganj DistrictMarch 2017,Sunamganj District,March 2017,50,8,114,20,2023,9022,655,2591,3311,4894,554,1122,35,174,36,41,53,52
Sylhet DivisionMarch 2017,Sylhet Division,March 2017,592,318,2794,295,10078,40049,945,8245,12632,22117,1063,3352,766,733,173,329,276,375
Sylhet DistrictApril 2017,Sylhet District,April 2017,138,0,2383,68,1353,13422,106,1459,2945,5308,195,1115,645,351,92,167,93,156
Habiganj DistrictApril 2017,Habiganj District,April 2017,89,0,58,59,1711,9816,282,2227,3862,7387,0,401,17,68,30,39,36,48
Moulavi Bazar DistrictApril 2017,Moulavi Bazar District,April 2017,269,258,93,55,4588,2310,79,1504,2330,3825,285,465,49,126,23,81,23,124
Sunamganj DistrictApril 2017,Sunamganj District,April 2017,51,0,296,14,2212,5977,254,890,1241,1900,15,961,95,143,28,82,73,104
Sylhet DivisionApril 2017,Sylhet Division,April 2017,547,258,2830,196,9864,31525,721,6080,10378,18420,495,2942,806,688,173,369,225,432
Sylhet DistrictMay 2017,Sylhet District,May 2017,230,13,2398,56,1218,20006,80,1969,2525,4645,262,1043,666,329,94,175,105,149
Habiganj DistrictMay 2017,Habiganj District,May 2017,91,0,74,54,2096,10244,341,2860,4857,8334,61,323,44,80,31,50,26,37
Moulavi Bazar DistrictMay 2017,Moulavi Bazar District,May 2017,343,313,160,41,2299,2304,51,1571,6519,4114,230,429,35,107,13,70,32,129
Sunamganj DistrictMay 2017,Sunamganj District,May 2017,846,0,1242,560,4162,8042,207,2668,4839,5293,51,1144,102,261,75,125,113,150
Sylhet DivisionMay 2017,Sylhet Division,May 2017,1510,326,3874,711,9775,40596,679,9068,18740,22386,604,2939,847,777,213,420,276,465
Sylhet DistrictJune 2017,Sylhet District,June 2017,178,19,2373,46,966,18920,100,1516,2203,4523,173,1034,1025,324,85,161,100,150
Habiganj DistrictJune 2017,Habiganj District,June 2017,80,0,76,31,1234,8755,259,2808,4505,7063,110,355,11,110,16,44,46,36
Moulavi Bazar DistrictJune 2017,Moulavi Bazar District,June 2017,366,361,100,107,4393,1847,177,1695,2567,3954,201,359,38,57,4,42,44,59
Sunamganj DistrictJune 2017,Sunamganj District,June 2017,51,0,300,36,2468,6818,203,2502,2850,6591,37,1123,157,281,69,178,99,165
Sylhet DivisionJune 2017,Sylhet Division,June 2017,675,380,2849,220,9061,36340,739,8521,12125,22131,521,2871,1231,772,174,425,289,410
Sylhet DistrictJuly 2017,Sylhet District,July 2017,212,18,2323,70,1325,23881,106,1815,2315,4065,134,1118,989,384,73,155,185,168
Habiganj DistrictJuly 2017,Habiganj District,July 2017,112,0,86,44,2143,10027,64,2885,5157,8479,4,445,5,37,7,21,21,43
Moulavi Bazar DistrictJuly 2017,Moulavi Bazar District,July 2017,302,342,73,45,6092,2207,21,1748,2494,5050,238,499,18,126,31,75,33,124
Sunamganj DistrictJuly 2017,Sunamganj District,July 2017,55,0,120,24,2267,6482,291,3122,3740,7624,236,1119,189,695,276,209,730,212
Sylhet DivisionJuly 2017,Sylhet Division,July 2017,681,360,2602,183,11827,42597,482,9570,13706,25218,612,3181,1201,1242,387,460,969,547
Sylhet DistrictAugust 2017,Sylhet District,August 2017,156,6,2344,47,1424,19517,150,1445,2090,3624,97,1089,617,385,62,162,92,273
Habiganj DistrictAugust 2017,Habiganj District,August 2017,124,183,100,68,2034,11287,95,3097,5012,8547,47,321,16,237,94,18,24,42
Moulavi Bazar DistrictAugust 2017,Moulavi Bazar District,August 2017,56,0,116,64,4307,2449,40,1730,2435,4400,30,810,47,137,35,84,44,145
Sunamganj DistrictAugust 2017,Sunamganj District,August 2017,55,0,137,16,2249,4893,431,3052,3105,5100,0,1150,149,410,87,225,315,192
Sylhet DivisionAugust 2017,Sylhet Division,August 2017,391,189,2697,195,10014,38146,716,9324,12642,21671,174,3370,829,1169,278,489,475,652
Sylhet DistrictSeptember 2017,Sylhet District,September 2017,171,23,2316,60,1254,20568,68,1865,2189,3972,253,1088,543,421,85,303,154,275
Habiganj DistrictSeptember 2017,Habiganj District,September 2017,113,0,67,53,1982,10634,70,3027,4972,8056,0,296,9,40,7,31,10,45
Moulavi Bazar DistrictSeptember 2017,Moulavi Bazar District,September 2017,56,0,118,49,3924,2401,16,1519,2489,5509,51,600,24,138,44,40,38,98
Sunamganj DistrictSeptember 2017,Sunamganj District,September 2017,73,0,111,49,1891,7965,170,2644,3320,7086,46,1037,161,604,109,276,228,216
Sylhet DivisionSeptember 2017,Sylhet Division,September 2017,413,23,2612,211,9051,41568,324,9055,12970,24623,350,3021,737,1203,245,650,430,634
Sylhet DistrictOctober 2017,Sylhet District,October 2017,227,39,2296,53,1413,23349,37,1520,1884,3855,117,931,576,531,121,345,160,320
Habiganj DistrictOctober 2017,Habiganj District,October 2017,119,0,70,63,3488,12483,179,3384,4444,7905,122,230,6,45,8,35,30,52
Moulavi Bazar DistrictOctober 2017,Moulavi Bazar District,October 2017,60,0,124,51,3765,2511,24,1725,2577,5287,124,407,11,122,29,62,35,115
Sunamganj DistrictOctober 2017,Sunamganj District,October 2017,715,55,92,16,2605,7781,62,2193,2803,4955,101,918,130,677,130,290,179,185
Sylhet DivisionOctober 2017,Sylhet Division,October 2017,1121,94,2582,183,11271,46124,302,8822,11708,22002,464,2486,723,1375,288,732,404,672
Sylhet DistrictNovember 2017,Sylhet District,November 2017,207,5,2281,57,1481,20775,120,1377,2010,3711,159,766,571,737,174,376,220,360
Habiganj DistrictNovember 2017,Habiganj District,November 2017,101,0,61,57,2664,8786,41,3267,4772,8857,51,220,2,44,8,16,23,30
Moulavi Bazar DistrictNovember 2017,Moulavi Bazar District,November 2017,62,0,124,62,3566,2184,17,1760,2532,5075,42,287,13,86,29,53,42,87
Sunamganj DistrictNovember 2017,Sunamganj District,November 2017,99,75,96,12,2244,5806,567,2510,3208,4790,574,755,64,559,112,228,174,160
Sylhet DivisionNovember 2017,Sylhet Division,November 2017,469,80,2562,188,9955,37551,745,8914,12522,22433,826,2028,650,1426,323,673,459,637
Sylhet DistrictDecember 2017,Sylhet District,December 2017,181,20,2328,57,1196,18239,70,1309,1939,3903,3463,683,522,568,141,310,165,308
Habiganj DistrictDecember 2017,Habiganj District,December 2017,32,0,36,40,2499,8611,114,3257,4887,8451,557,318,10,27,11,11,13,17
Moulavi Bazar DistrictDecember 2017,Moulavi Bazar District,December 2017,68,0,108,67,3705,2486,55,1743,2425,5446,34,317,8,104,26,90,60,134
Sunamganj DistrictDecember  2017,Sunamganj District,December  2017,51,0,103,8,2593,6336,912,2945,3444,7239,143,698,35,424,228,253,171,187
Sylhet DivisionDecember 2017,Sylhet Division,December 2017,332,20,2575,172,9993,35672,1151,9254,12695,25039,4197,2016,575,1123,406,664,409,646
Brahmanbaria DistrictJanuary 2017,Brahmanbaria District,January 2017,62,0,108,56,1398,2873,45,988,1689,3073,56,288,136,73,30,53,66,90
Comilla DistrictJanuary 2017,Comilla District,January 2017,171,176,204,109,1999,11923,639,1191,2164,4287,271,465,314,164,45,46,50,107
Chandpur DistrictJanuary 2017,Chandpur District,January 2017,0,2,169,52,2262,2766,139,527,854,1534,44,187,120,99,36,134,147,137
Feni DistrictJanuary 2017,Feni District,January 2017,88,0,105,87,1667,3502,173,1230,1201,2108,49,424,308,121,9,7,191,115
Noakhali DistrictJanuary 2017,Noakhali District,January 2017,229,0,184,68,1380,5254,6,1015,1490,2642,78,523,100,146,69,55,39,54
Lakshmipur DistrictJanuary 2017,Lakshmipur District,January 2017,206,20,112,71,1419,4069,4,630,630,1099,22,120,23,35,4,14,13,19
Chittagong DistrictJanuary 2017,Chittagong District,January 2017,289,193,391,312,3657,14427,403,1651,2930,3931,109,1282,699,544,49,253,1044,283
Cox's Bazar DistrictJanuary 2017,Cox's Bazar District,January 2017,671,0,150,50,1813,3406,1783,2027,2453,6085,54,321,201,274,65,81,46,68
Rangamati DistrictJanuary 2017,Rangamati District,January 2017,35,3,30,31,597,746,29,158,260,407,44,271,11,2,4,15,11,15
Khagrachhari DistrictJanuary 2017,Khagrachhari District,January 2017,10,0,66,5,473,1564,2,343,783,2489,185,239,57,11,3,7,11,5
Bandarban DistrictJanuary 2017,Bandarban District,January 2017,0,0,23,19,603,852,33,250,320,697,11,107,35,11,5,1,3,3
Chittagong DivisionJanuary 2017,Chittagong Division,January 2017,1761,394,1542,860,17268,51382,3256,10010,14774,28352,923,4227,2004,1480,319,666,1621,896
Brahmanbaria DistrictFebruary 2017,Brahmanbaria District,February 2017,73,10,88,46,2513,3188,136,1024,1853,2582,326,174,62,122,75,41,38,68
Comilla DistrictFebruary 2017,Comilla District,February 2017,142,422,600,53,2076,6930,432,1227,2240,4112,300,638,84,86,36,57,67,64
Chandpur DistrictFebruary 2017,Chandpur District,February 2017,9,0,100,30,2447,5908,102,485,751,1583,77,170,108,202,96,110,121,161
Feni DistrictFebruary 2017,Feni District,February 2017,59,0,76,57,866,2980,247,748,1135,1824,33,415,180,129,21,21,101,131
Noakhali DistrictFebruary 2017,Noakhali District,February 2017,143,8,153,80,1210,16011,52,1058,1768,2838,52,322,175,142,75,57,39,69
Lakshmipur DistrictFebruary 2017,Lakshmipur District,February 2017,208,211,131,82,912,3366,21,600,707,1202,9,144,40,32,11,11,9,32
Chittagong DistrictFebruary 2017,Chittagong District,February 2017,558,228,474,228,4121,15566,261,1358,2892,4184,278,1140,587,309,30,230,261,244
